176900,942600,12000,9600
151800,837000,12300,53900
139000,1160700,19800,8400
129100,1022400,11500,10100
439400,1113800,12100,10200
249600,1053400,12700,9400
225500,1055800,10900,7600
178400,1508800,11600,12000
136200,1051400,11400,9300
165000,1010800,12200,9000
131200,1636500,12300,8900
294700,1185200,19400,9600
167700,1056800,11900,7000
173400,1027300,11900,8700
145300,1025300,12800,10700
168300,1049600,11400,7100
126900,1245400,11900,9300
159800,1374200,12000,8400
155100,1093800,13400,9700
150900,1071800,14100,10500
172000,2199300,12200,12200
152800,1037100,14900,8700
142200,2626700,11700,25300
141400,1153100,12300,8700
175700,963200,12200,9400
1997100,946800,12100,8700
145600,1028400,12100,8500
125200,885500,12800,9300
154400,1076000,11800,9300
147400,1961400,11000,9100
151500,1393000,12200,14500
155700,2281400,11900,9500
187200,1000700,18600,8800
170000,1037800,12000,9400
157900,1036600,12600,12700
150300,1036900,10600,7100
1291700,10037500,12200,10300
401300,996300,12500,11400
168800,1091700,12700,9800
163100,922200,12700,9300
185800,963500,10800,10600
250000,960100,12000,11800
168000,1123600,10900,9000
145300,886000,22100,99700
137900,1123700,11500,11500
156100,1043200,19600,14700
185500,998100,12200,8800
2638700,988700,11700,9900
157700,959800,11900,8600
230300,1031600,15000,8700
158400,953000,15000,10700
237600,1386800,13100,10800
163200,1008700,12200,8900
143300,1459800,14200,10700
138600,992200,12400,7900
142500,2692700,11300,8400
1660800,22814800,11800,10300
152600,1010800,11000,10100
198700,1194500,13100,10100
153000,993700,11500,26100
938600,1117600,12400,10400
140100,1115600,12400,81400
171200,7667600,10800,7700
3694500,998600,13900,12700